symbol,adf_p_level,adf_p_diff,adf_I(1),pp_p_level,pp_p_diff,pp_I(1)
CE,0.8299351698041826,0.0,True,0.8172394962498156,0.0,True
CF,0.11862364785008062,9.737915030561681e-27,True,0.07335823291376405,0.0,True
CFG,0.7742185121612084,0.0,True,0.8158607587657674,0.0,True
CFR,0.3024062677005198,0.0,True,0.3229984415405778,0.0,True
CG,0.3328578754334397,0.0,True,0.36248565486751516,0.0,True
CGNX,0.3135062836161824,0.0,True,0.24650460165886512,0.0,True
CHD,0.8988067369815396,9.118649877005664e-18,True,0.8214895616105566,0.0,True
CHDN,0.5031952909685761,0.0,True,0.5790431562331798,0.0,True
CHE,0.8189616977435223,3.0545442476680497e-30,True,0.8241720046988907,0.0,True
CHFJPY,0.948641668059124,0.0,True,0.9557297657657672,0.0,True
CHRW,0.9444537892681236,0.0,True,0.9672735628792428,0.0,True
CHTR,0.658390630758643,1.246053679837507e-25,True,0.6576416477831548,0.0,True
CHWY,0.6411314619213412,0.0,True,0.6604420095720522,0.0,True
CI,0.21188364537371768,8.665922689781487e-15,True,0.2809683915385963,0.0,True
CIEN,0.9944866042621098,1.6309194450595654e-17,True,0.9931193109790604,0.0,True
CINF,0.4751914633883847,4.290878745035324e-27,True,0.45555860500337997,0.0,True
CL,0.5793545070130927,0.0,True,0.6409645376333871,0.0,True
CLF,0.41603924425841726,0.0,True,0.41729597802484897,0.0,True
CLX,0.9633778709651163,0.0,True,0.9727071350201011,0.0,True
CMCSA,0.6895098540491766,0.0,True,0.7408703970630176,0.0,True
CME,0.7369282010172438,0.0,True,0.8281155434544211,0.0,True
CMG,0.7941344088049753,0.0,True,0.7337150296542068,0.0,True
CMI,0.888263823801138,0.0,True,0.9049846759885021,0.0,True
CMS,0.4173458619300034,9.298210951108394e-30,True,0.4702072604135412,0.0,True
CNC,0.7426843158253021,0.0,True,0.690484505573926,0.0,True
CNP,0.8422153687768443,0.0,True,0.8449699442533763,0.0,True
COF,0.8135835590206613,3.731456577487894e-18,True,0.839582044750786,0.0,True
COHR,0.8225813806765918,1.6831111058919616e-24,True,0.7842363315774623,0.0,True
COIN,0.33816983395622174,2.0224573028495504e-30,True,0.29886505307592015,2.022466375393829e-30,True
COLM,0.8994179774622262,5.05571662612466e-17,True,0.8624049372336696,0.0,True
COO,0.499131421742779,0.0,True,0.5759856102746215,0.0,True
COP,0.26960920411445266,4.427242982795986e-27,True,0.41171882151835515,0.0,True
COR,0.815598485298511,0.0,True,0.8265263183256257,0.0,True
COST,0.0864785781110301,1.906267903537485e-29,True,0.0865889392856698,0.0,True
COTY,0.9762853937104947,2.8933764864154764e-22,True,0.9777678092679882,0.0,True
