,A_D1_20240101_20260101,AA_D1_20240101_20260101,AAL_D1_20240101_20260101,AAP_D1_20240101_20260101,ABBV_D1_20240101_20260101,ABT_D1_20240101_20260101,ACHC_D1_20240101_20260101,ACM_D1_20240101_20260101,ACN_D1_20240101_20260101,ADBE_D1_20240101_20260101,ADI_D1_20240101_20260101,ADM_D1_20240101_20260101,ADP_D1_20240101_20260101,ADSK_D1_20240101_20260101,AEP_D1_20240101_20260101,AES_D1_20240101_20260101,AFG_D1_20240101_20260101,AFL_D1_20240101_20260101,AGCO_D1_20240101_20260101,AIG_D1_20240101_20260101,AIZ_D1_20240101_20260101,AJG_D1_20240101_20260101,AKAM_D1_20240101_20260101,AL_D1_20240101_20260101,ALB_D1_20240101_20260101,ALGN_D1_20240101_20260101,ALK_D1_20240101_20260101,ALL_D1_20240101_20260101,ALLY_D1_20240101_20260101,ALNY_D1_20240101_20260101,AMAT_D1_20240101_20260101,AMD_D1_20240101_20260101,AME_D1_20240101_20260101,AMG_D1_20240101_20260101,AMGN_D1_20240101_20260101,AMKR_D1_20240101_20260101,AMP_D1_20240101_20260101,AMT_D1_20240101_20260101,AMZN_D1_20240101_20260101,AN_D1_20240101_20260101,ANET_D1_20240101_20260101,AON_D1_20240101_20260101,AOS_D1_20240101_20260101,APA_D1_20240101_20260101,APD_D1_20240101_20260101,APH_D1_20240101_20260101,APLS_D1_20240101_20260101,ARCC_D1_20240101_20260101,ARES_D1_20240101_20260101,ARMK_D1_20240101_20260101,ARW_D1_20240101_20260101,ARWR_D1_20240101_20260101,ASH_D1_20240101_20260101,AUDCAD_D1_20240101_20260101,AUDCHF_D1_20240101_20260101,AUDJPY_D1_20240101_20260101,AUDNZD_D1_20240101_20260101,AUDUSD_D1_20240101_20260101,AUS200_D1_20240101_20260101,AVGO_D1_20240101_20260101,AVTR_D1_20240101_20260101,AVY_D1_20240101_20260101,AWI_D1_20240101_20260101,AWK_D1_20240101_20260101,AXON_D1_20240101_20260101,AXTA_D1_20240101_20260101,AYI_D1_20240101_20260101,AZO_D1_20240101_20260101,AZTA_D1_20240101_20260101,BAC_D1_20240101_20260101,BAH_D1_20240101_20260101,BALL_D1_20240101_20260101,BAX_D1_20240101_20260101,BBY_D1_20240101_20260101,BC_D1_20240101_20260101,BDX_D1_20240101_20260101,BEN_D1_20240101_20260101,BFAM_D1_20240101_20260101,BIIB_D1_20240101_20260101,BILL_D1_20240101_20260101,BIO_D1_20240101_20260101,BJ_D1_20240101_20260101,BK_D1_20240101_20260101,BKNG_D1_20240101_20260101,BKR_D1_20240101_20260101,BL_D1_20240101_20260101,BLD_D1_20240101_20260101,BLDR_D1_20240101_20260101,BLK_D1_20240101_20260101,BMRN_D1_20240101_20260101,BR_D1_20240101_20260101,BRKb_D1_20240101_20260101,BRKR_D1_20240101_20260101,BRO_D1_20240101_20260101,BSX_D1_20240101_20260101,BURL_D1_20240101_20260101,BWA_D1_20240101_20260101,BX_D1_20240101_20260101,BYD_D1_20240101_20260101,C_D1_20240101_20260101,CABO_D1_20240101_20260101,CACC_D1_20240101_20260101,CACI_D1_20240101_20260101,CADCHF_D1_20240101_20260101,CADJPY_D1_20240101_20260101,CAG_D1_20240101_20260101,CAH_D1_20240101_20260101,CAR_D1_20240101_20260101,CARR_D1_20240101_20260101,CASY_D1_20240101_20260101,CB_D1_20240101_20260101,CBRE_D1_20240101_20260101,CC_D1_20240101_20260101,CCI_D1_20240101_20260101,CCK_D1_20240101_20260101,CCL_D1_20240101_20260101,CDNS_D1_20240101_20260101,CDW_D1_20240101_20260101,CE_D1_20240101_20260101,CF_D1_20240101_20260101,CFG_D1_20240101_20260101,CFR_D1_20240101_20260101,CG_D1_20240101_20260101,CGNX_D1_20240101_20260101,CHD_D1_20240101_20260101,CHDN_D1_20240101_20260101,CHE_D1_20240101_20260101,CHFJPY_D1_20240101_20260101,CHRW_D1_20240101_20260101,CHTR_D1_20240101_20260101,CHWY_D1_20240101_20260101,CI_D1_20240101_20260101,CIEN_D1_20240101_20260101,CINF_D1_20240101_20260101,CL_D1_20240101_20260101,CLF_D1_20240101_20260101,CLX_D1_20240101_20260101,CMCSA_D1_20240101_20260101,CME_D1_20240101_20260101,CMG_D1_20240101_20260101,COLM_D1_20240101_20260101,COST_D1_20240101_20260101,CPRT_D1_20240101_20260101,CROX_D1_20240101_20260101,CRWD_D1_20240101_20260101,CSGP_D1_20240101_20260101,CSX_D1_20240101_20260101,CTAS_D1_20240101_20260101,CTSH_D1_20240101_20260101,DBX_D1_20240101_20260101,DDOG_D1_20240101_20260101,DLTR_D1_20240101_20260101,DNLI_D1_20240101_20260101,DOCU_D1_20240101_20260101,DOX_D1_20240101_20260101,DXCM_D1_20240101_20260101,EA_D1_20240101_20260101,EBAY_D1_20240101_20260101,EEFT_D1_20240101_20260101,ENPH_D1_20240101_20260101,ENTG_D1_20240101_20260101,ETSY_D1_20240101_20260101,EURAUD_D1_20240101_20260101,EURCAD_D1_20240101_20260101,EURCHF_D1_20240101_20260101,EURGBP_D1_20240101_20260101,EURJPY_D1_20240101_20260101,EURMXN_D1_20240101_20260101,EURNOK_D1_20240101_20260101,EURNZD_D1_20240101_20260101,EURSEK_D1_20240101_20260101,EURTRY_D1_20240101_20260101,EURUSD_D1_20240101_20260101,EWBC_D1_20240101_20260101,EXEL_D1_20240101_20260101,FCHI40_D1_20240101_20260101,FISV_D1_20240101_20260101,GBPAUD_D1_20240101_20260101,GBPCAD_D1_20240101_20260101,GBPCHF_D1_20240101_20260101,GBPJPY_D1_20240101_20260101,GBPMXN_D1_20240101_20260101,GBPNOK_D1_20240101_20260101,GBPNZD_D1_20240101_20260101,GBPSEK_D1_20240101_20260101,GBPTRY_D1_20240101_20260101,GBPUSD_D1_20240101_20260101,GDAXI_D1_20240101_20260101,NDX_D1_20240101_20260101,NI225_D1_20240101_20260101,NZDCAD_D1_20240101_20260101,NZDCHF_D1_20240101_20260101,NZDJPY_D1_20240101_20260101,NZDUSD_D1_20240101_20260101,SP500_D1_20240101_20260101,SPA35_D1_20240101_20260101,STOXX50E_D1_20240101_20260101,UK100_D1_20240101_20260101,USDCAD_D1_20240101_20260101,USDCHF_D1_20240101_20260101,USDJPY_D1_20240101_20260101,USDMXN_D1_20240101_20260101,USDNOK_D1_20240101_20260101,USDSEK_D1_20240101_20260101,USDSGD_D1_20240101_20260101,USDTRY_D1_20240101_20260101,WS30_D1_20240101_20260101,XAGUSD_D1_20240101_20260101,XAUUSD_D1_20240101_20260101,XNGUSD_D1_20240101_20260101,XTIUSD_D1_20240101_20260101
A_D1_20240101_20260101,1.0,0.34183291784793285,0.35657176441108934,0.21991434482105993,0.36835137089414355,0.2032129489080853,0.25205009358606645,0.39932351707791813,0.3640288739721644,0.24982720853140364,0.48139818466825596,0.16960332836881617,0.29017541252767287,0.38334455771267717,0.07706519461706658,0.32080808438137215,0.26919209304231445,0.20696088656000236,0.40566863007741866,0.23669917227322151,0.22749058102208028,0.13895480495187237,0.3239114085278061,0.40834865013733435,0.38402901353554986,0.42862452093449027,0.37118385939220855,0.11815033346129789,0.3911774692791372,0.2046483632403087,0.42585826593198345,0.2638603551431367,0.42367941646691754,0.40839916560720557,0.4021142992377812,0.4159769084016725,0.34850029220771256,0.11292317438222498,0.38329373814221046,0.45075481356920216,0.30671356848753784,0.19229964092907378,0.4827122098508045,0.32592223591686587,0.36148083517351776,0.35406058852718303,0.20777187201786843,0.3498683345863575,0.3758651340963405,0.3652134408642773,0.47474916025502295,0.3560979202950283,0.4256658951503584,0.2953534042610811,0.3556302945090554,0.26706900725629534,0.1346680685324783,0.29343720901543485,0.46706700115954874,0.25776663823608525,0.5572302623323508,0.42455117882923843,0.4219001601239889,0.022410011731283177,0.1136522933458807,0.4787715371919317,0.45324395997200134,0.1410892168579099,0.5793639738892236,0.37299609624376423,0.2119072931691304,0.36170414106561083,0.42038583050579686,0.3902976464151011,0.5273224076852768,0.4473066347576892,0.3904937437538934,0.29239825852969326,0.4502233919310396,0.2957636549129983,0.6117626120896116,0.054285078600783875,0.3206469828882472,0.3050854220677912,0.32238210728710753,0.37651888707703507,0.4402217664476647,0.4482686977014827,0.5003467016936397,0.3386622956615497,0.3475186136889788,0.28069825332679244,0.6853350299164332,0.1692223598207526,0.28889631815005345,0.269878028291696,0.48035337113218074,0.4576753898154707,0.3409990036689504,0.3819023607374493,0.16635477709103252,0.3676943613184666,0.2262908848308108,0.19842122294331083,0.10539585402409664,0.17754678838473995,0.15623513522564064,0.31461857492240547,0.4784271835418089,0.19242407991937313,0.07152112450853626,0.48231188575380385,0.4641283757290568,0.17450601861464776,0.28663747882638707,0.3778394171101621,0.3699644026787476,0.4616383494226985,0.4192088150259392,0.16418884053344623,0.4375675727750108,0.36554533858554367,0.4419035513846567,0.40405272413686244,0.1734258035645403,0.2863146936773689,0.18921443440175553,-0.06125086755471235,0.19298779874397679,0.1894960402241159,0.17212676815402736,0.10019411021975501,0.3373367912498563,0.26396701669373995,0.11840679053378098,0.26779238871342975,0.23611331295416063,0.2038975486482437,-0.08597211534541128,0.2253723698873785,0.41893001382301476,0.18496473321009313,0.31862968132614855,0.31604527512542663,0.23363560691759436,0.4436857169314093,0.3665654844225855,0.2776712271134095,0.4263200870562608,0.2280994844006141,0.28430270161214405,0.20972716576764702,0.3189265463224132,0.2685680307000624,0.3530458804335186,0.18854781093713316,0.1604432930516923,0.19066610506048712,0.42942238230043805,0.25762447085312185,0.49876407959407226,0.29034557440777936,-0.32090675106964167,-0.07464216616317335,0.2001597137876465,-0.1690162574080353,0.07171130764498114,-0.15620806879482207,-0.21929003296087177,-0.2622361821796576,-0.16895502253295494,0.010173306469254208,0.04596978508656131,0.41802639817870035,0.11727898091307201,0.4733012707064028,0.1710065025286621,-0.2314157336077316,0.06266408817712425,0.2578241010402244,0.15153424496751192,-0.09489536624116915,-0.11059460309168295,-0.16021872491258055,-0.036063674035364986,0.13473276978041634,0.1625562299502011,0.4739199657847859,0.44346366305890383,0.3755054230689195,0.20190877144910951,0.32695384906546915,0.23587899903971826,0.22884227139586327,0.5272335222887975,0.33495231638997225,0.4777385005343839,0.4248899317987573,-0.1484380130780522,0.08582446998521909,0.026236179818251475,-0.17988930392540076,-0.19783496569565523,-0.1345073097042239,-0.18370620387573752,-0.04049671609708653,0.5515565114058861,0.19958200161736228,0.095387860606039,0.027168644996660125,0.0675854544533513
AA_D1_20240101_20260101,0.34183291784793285,1.0,0.39122648721526404,0.14398931395020045,0.10059514991125983,0.006482312017005405,0.12845933594843495,0.37374371091031666,0.25432938097964947,0.18144217175500676,0.4514194894038211,0.18647702794133686,0.17201932492478744,0.2912295972496843,0.026271632747155063,0.2528334580888621,0.20206368810912062,0.1836036455030028,0.40815716563808,0.2327262817486628,0.23391957790827436,0.04869720590091265,0.30596338013660745,0.42509882938052945,0.4764064995892877,0.32279633424371584,0.4301012277055963,0.08649330933406257,0.4625392646054476,0.16115249479215704,0.38688685436739506,0.3955980109326014,0.3449511794407537,0.4175345272840271,0.14545495667479819,0.42469162377354785,0.42845433824169965,0.01096765850446859,0.3796537584122168,0.395815973490869,0.34202775356719217,0.04123425787975525,0.30457652916887235,0.42897193914612114,0.35424109218294053,0.4071595205960909,0.17223182986966895,0.3604582565274179,0.38259847500319943,0.30011666721334235,0.4131508299246364,0.23841760532803757,0.3775013082169354,0.3638373472566052,0.4607343079097609,0.38736745671950096,0.23905272893510165,0.44231968020704876,0.4707251137598692,0.3158647846568309,0.2723784829596573,0.2881309138463346,0.316290738080962,-0.09258493058267882,0.15336220915613935,0.4550727147368884,0.42559268842735337,-0.05012889263621025,0.3381786973375475,0.42937803133732383,0.11106147253023835,0.23181589897809493,0.2598350607131079,0.3613747264541321,0.4767685532216101,0.25288322698908733,0.42050383461767016,0.1252429221254897,0.23262653094817143,0.2996470115708428,0.2565199492933586,-0.013262446121226928,0.38818690786730337,0.285098554542696,0.39075433476998994,0.2814433792198072,0.349053206793997,0.307001296825428,0.4281274644368376,0.1768651994419924,0.2638273900034539,0.25504146897431823,0.23891159277045676,0.08286763960215758,0.16599978559171166,0.310433091941117,0.4280643568885556,0.40689113492739554,0.33757637403184426,0.42525516247710976,0.16497372966754134,0.36238681100973325,0.2089880530554922,0.27254931870542504,0.19846597363547325,0.017446167648416767,-0.060985500680660346,0.3189887865824035,0.3624681309277734,0.12752393643549753,0.05339860982010635,0.34889437803514256,0.43577815597835406,0.09217915676825829,0.2084825999950005,0.39953798388455,0.3205465800834295,0.35774802410404466,0.39733862532150754,0.20202701296633005,0.4431738371406557,0.3556344279765435,0.46583376285384626,0.43176571471677483,-0.05676742806406963,0.2959044198812849,0.064083141977584,-0.016901745822755256,0.16554474596761282,0.17407430058984533,0.1764256558013961,0.052607769819990505,0.31927212181858955,0.22636343900906197,-0.0705511374997549,0.47066283458224406,-0.0066804437643454674,0.24084144753604678,-0.07563831342579079,0.22408518725913507,0.33136607273838875,0.07703579472451229,0.17613079493177286,0.26746602496884464,0.28301946319008525,0.25330959647279233,0.3404976744757193,0.18361281650254468,0.30504931558367565,0.22154817825550016,0.27425921225422456,0.18037243294790728,0.27313023737027486,0.25572016509706946,0.28661289165473525,0.17073504121673855,0.1465672372035086,0.21690394136357694,0.356459257037959,0.27190814976264127,0.47417696218913746,0.23040003110328547,-0.4487091581680739,-0.16281349480148458,0.21015757787227551,-0.14685333521677876,0.12230515974418674,-0.23666722712517946,-0.36549681536921347,-0.34068133278869245,-0.2010833191114553,0.08433523635096543,0.10465111475859193,0.41150356553645145,0.13723240015944263,0.42695160621033396,0.14353422791187181,-0.3856028300424929,-0.04208476235297452,0.24838087443715218,0.18407361913800727,-0.18925566300404395,-0.27591745100794407,-0.2567143606746647,-0.07698653472460672,0.15236975789082113,0.20473209557168306,0.4514167644043001,0.4764596878048879,0.37078237393526947,0.20290877356297762,0.381045650922409,0.3254206580505544,0.32903523671048956,0.520993647323632,0.3531975067013553,0.45774986518094163,0.38542624678206167,-0.3231282980587877,0.042931873561388695,0.025782310553606403,-0.30001995026981837,-0.3486136863341713,-0.19278086895953653,-0.2645451876068035,-0.015398141294493968,0.5078222663349188,0.4000903587293502,0.23862924065058078,0.007849826455638958,0.2296166012317201
AAL_D1_20240101_20260101,0.35657176441108934,0.39122648721526404,1.0,0.21012549864023383,0.13975822811437802,0.08128832414256426,0.1808571216122262,0.3758259659160971,0.2919764302955028,0.25829869096218916,0.44731095267884924,0.1458010919262505,0.2281671973304121,0.34191968173880993,0.041622197386966125,0.1739514667209947,0.28548039170753436,0.18276984569194069,0.3827292239819874,0.2354616838889352,0.2893702115527315,0.11825565620541632,0.3040274073753112,0.4197886886202832,0.349235791358,0.33478544378185887,0.677114648750314,0.08042331972363889,0.4271741401170202,0.1242064863135444,0.320474539827601,0.367765929027593,0.3410899969598982,0.4291232658967491,0.1911546509545986,0.3956508461195711,0.4736355102112009,-0.0442394003654391,0.38857941996773804,0.410601560475688,0.24986794117741976,0.16242167725816026,0.31758869770721293,0.27063001754689314,0.2655317619210536,0.30192582981644667,0.12556868250930847,0.4192271882697073,0.4390856703713472,0.36251352100958834,0.4313359737503794,0.2753114243665694,0.39511723159963086,0.15688303142557206,0.37475079304056796,0.3282771931081804,0.1266218272152499,0.20816817637688723,0.4460790050782134,0.24271547033727467,0.266221864076005,0.31634425972437547,0.38872996329250986,-0.06661480863011925,0.16865675638541933,0.4592868616893974,0.3796395307749662,0.00874602761224057,0.3335500994636532,0.44123059451433955,0.07957431023258497,0.21343575616355379,0.2551160417063385,0.41502488881496197,0.49902735649048313,0.2518901523553522,0.4166486685315949,0.20655825451672993,0.2513278783187915,0.3327979755364931,0.28545001476364384,-0.018905882456015655,0.38524936754678585,0.3629442253688597,0.23789292083023986,0.25007061981367706,0.34365091406408704,0.3786406156830528,0.44981774669119023,0.18326777314490797,0.26845974404057954,0.3176913013736593,0.31589407863069746,0.13249202957940304,0.20270648405642172,0.3183248812851337,0.40999870656977255,0.49999465804131,0.44557899755097896,0.47220843872866103,0.18877009432662603,0.3989933175810058,0.16443544021083645,0.34133838596358124,0.2672633530499326,0.10895581596180365,0.006014224756772162,0.3760615830664373,0.3703981357940994,0.1605801954541536,0.12500728630984861,0.32145255691784347,0.3770900533067771,-0.001552068038690512,0.16305875534806336,0.513573711470589,0.2761714072409498,0.4638739223833582,0.35499229260579973,0.059141851122148426,0.48747754434623103,0.44209859738387025,0.48066987815917733,0.422372646369443,0.022882017270644355,0.29757969450616895,0.07522353011159644,0.00406782000844915,0.19806715270484154,0.23200295810512772,0.08062134875733834,0.04823367056337657,0.27960959722597084,0.28049864543998765,-0.002430338673344392,0.2830106320831748,0.1029268287989877,0.33326705315617766,-0.06886956395577132,0.2863519133196107,0.39424697901099653,0.1504870363003556,0.2572321001308021,0.27562694854474595,0.20821982975883777,0.22227807114904075,0.3675887080390466,0.2199483897709725,0.3640664841059062,0.25817462979344186,0.22966045256327153,0.19801841204267895,0.2572630496381994,0.2605045087078323,0.31540310798319676,0.19486213927647528,0.14987443605564163,0.13746221855096438,0.3756248031053848,0.2161358045092267,0.4636410433752991,0.24558753955075627,-0.3146124301996759,-0.22530670348656529,0.23557052337750248,-0.21487764815840407,0.15674634141252589,-0.20524514909218913,-0.1514013435666856,-0.262888081312808,-0.12790613858462585,-0.055303955155696624,-0.05867653719122692,0.4696081814005505,0.14119468768085236,0.45304994941028875,0.1254506093982011,-0.19450507332776557,-0.051955421850039304,0.3127936011293118,0.24978523531024766,-0.12948670281436284,-0.004743837060767388,-0.12845061846355527,0.022440892916219167,0.06808212433291802,0.08433025194318575,0.43775578270349835,0.45269646210685804,0.4057197746556556,0.07510978283656045,0.34610978015504795,0.30371679995861883,0.1497828654283244,0.5094565412783321,0.2825650757449072,0.451827251549401,0.34933899521215783,-0.17189737695736632,0.19844120912924676,0.16700240228895433,-0.16637992984546546,-0.06575427581398555,-0.03417333092782928,-0.06987743183863009,-0.008760568538079307,0.5273869923982064,0.10169380666897149,-0.008665497266420425,0.05866395309238267,0.0062144110038909175
AAP_D1_20240101_20260101,0.21991434482105993,0.14398931395020045,0.21012549864023383,1.0,0.12926811230090376,0.06519381943532265,0.09704309355037942,0.1820386085395795,0.1447290191381908,0.12414829307598568,0.13096016878249025,0.1207019142740347,0.17580118703416742,0.15607944119029618,0.043563012965402166,0.10072414671254941,0.1728234082049927,0.09005474351222667,0.25351844356479,0.16292383581367914,0.17362764818114992,0.0761379210324605,0.18536465534870683,0.21429932397168464,0.1847098004659416,0.21802430174199391,0.19202979974134382,0.08589569856674072,0.22661649203287582,0.0455055487003002,0.12609792441319226,0.08063512873810083,0.14658345031068057,0.16500224456981114,0.15757605615504297,0.13166724594223375,0.18363626587571075,0.06235090291916069,0.1416316586558497,0.2835629110237813,0.059378694920659676,0.06618459206174122,0.2419732811560565,0.18478070527672394,0.22068872544681448,0.05793331559916885,0.11488308585938771,0.2320166021889703,0.12424458848859388,0.17902310391026566,0.2228395973983573,0.14713127095614667,0.24287008416250552,0.09169775241116433,0.15460200922613818,0.10895712973495966,0.11141583902573426,0.12436112535562072,0.2594831899396792,0.0688882339750101,0.22495179731265805,0.2381045862623531,0.19840358393328905,0.06625000516875816,0.012670519381710986,0.2707249418334803,0.18907266662042607,0.2990447037836663,0.22286595073957283,0.16430647343883134,0.05085309787850443,0.1894737737275297,0.1802263745841109,0.26851357801788966,0.3790347279667167,0.1669935080104959,0.1818946030884342,0.12982255758555608,0.16537584009220366,0.16831293156449298,0.20100827933346468,0.13457012534184287,0.16627830919809336,0.14222517438914314,0.15054814450735848,0.17549627430905293,0.29625003901013297,0.2775853840601557,0.21979360372694817,0.13652619948105632,0.1677934416474599,0.15057639741157344,0.16731712138062982,0.08018896123378184,0.02331369071945645,0.23322262993922332,0.2623861191661512,0.20066098913764718,0.16305997754019255,0.16564366050962326,0.14002564264599943,0.23482311350395935,0.08604225276767072,0.11644211913122245,0.061535305442342696,0.1502670283461681,0.0252762304990616,0.2730328857072583,0.19294305518029875,0.12143612560331409,0.08447794618136817,0.20474238765929073,0.2487208695958056,0.059156766941121826,0.15060902635620538,0.17624043340805767,0.09904362133153247,0.21005242058123366,0.25256583135004906,0.10843160549157027,0.2206023218620509,0.22889428632074915,0.2525452050962692,0.1822551933668945,0.08365700185286593,0.08349047509439035,0.11576113679259817,-0.038843448546270844,0.04956512911008067,0.15075406557358978,0.03514955089237406,0.1389052763792403,0.08077838247428389,0.15427490322684834,0.08771077971624318,0.1665306278060171,0.1114906776850386,0.13459025231360694,-0.015398856328168184,0.17798064989864404,0.2719457501684099,0.08387572365434905,0.18795227023366565,0.1989346706457588,0.06866547912729358,0.19946919526460932,0.2231874172324789,0.12849122188407464,0.22975064926675126,0.13631107598839334,0.08271740250951273,0.23604096354907744,0.1514780857753123,0.1320217450956801,0.213133619583479,0.051140534886233484,0.024624457898541726,0.1919640240119759,0.2819392327824627,0.024997315596378453,0.20893977766147628,0.23891861205521595,-0.12528200726365832,-0.05871297263716629,0.1048823733224537,-0.10662353506705831,0.033503506446447055,-0.1277201708916913,-0.1558129491901408,-0.06842904247058045,-0.06720466071838763,0.016118164159095474,0.028307274163954566,0.2381906733956478,0.07158973120772545,0.2574627935319197,0.0973396268392822,-0.061535323644477835,0.030684199905802283,0.1464995721385132,0.0852228969801478,-0.08933658842826953,-0.0866733518376427,0.004021250476675723,0.0100515426995882,0.09949213165618541,0.1029596377009193,0.21988301639950247,0.19405899793898915,0.15570329479655834,0.02514666390437125,0.11157244295366471,0.07539582613215451,0.07261382234307226,0.24255942805375702,0.17739651868030484,0.2583208582448841,0.24617936565130327,-0.1032327994610428,0.04065519326090422,0.007052033023970495,-0.14515233784845946,-0.13594936439404712,-0.06188420497931218,-0.07563259344446212,-0.0378120914388196,0.31021474428176204,0.057292800363438506,0.01031639460472144,0.02375268968974259,0.036566224010498416
ABBV_D1_20240101_20260101,0.36835137089414355,0.10059514991125983,0.13975822811437802,0.12926811230090376,1.0,0.34219516190489674,0.10384643576454122,0.15173490321327435,0.17090280793728263,0.11894403514419326,0.16394860392087518,0.1433946733952891,0.3196244547165072,0.08180439033097649,0.29858155022729416,0.18292732225270988,0.22843766256616216,0.23175791788169145,0.19392983120267146,0.256721882227738,0.2618525527435355,0.30483110271986696,0.14197697250361777,0.136319451206464,0.09913729597983988,0.09910522038406844,0.13976142598213018,0.2703692162842124,0.1553857373202937,0.16132834966341947,0.10587609934289771,0.018960804901472315,0.21023118553503028,0.14877092625090335,0.44617903463920894,0.0607284834317152,0.17628106321594333,0.27303506997714905,0.011230334498881594,0.12066451081193771,0.012394060549361666,0.255752034052773,0.2789835683604833,0.16972707566914483,0.241212214558513,0.01752622230465649,0.15234863224858994,0.20167083857648954,0.12140508711295837,0.19415630364846714,0.18378489599682712,0.19657211777007685,0.23024558306861198,0.1981092302870799,0.15528271121183723,0.06422378591691459,0.09044794740057167,0.17881431511339316,0.25375793476144665,-0.008970228899774413,0.25208460299633134,0.27253880297253696,0.12968188018871551,0.2617461845703552,0.0191821988736106,0.23185392305716487,0.15795068350405522,0.17248910288959535,0.22746174704912248,0.181786497934126,0.05660985313729209,0.24345746418132538,0.3222398091812746,0.22422752159044507,0.22992024284139082,0.3334839490807936,0.19141941908534627,0.1881723975425656,0.37737998988888716,0.05085423642638617,0.32016378019855496,0.07842004769579772,0.1863417566482714,0.1001442787159225,0.18717454762116387,0.09671499192526602,0.13543991172782252,0.16086042589301613,0.22786688431150695,0.2984562690011131,0.26170007324297523,0.3151354584378286,0.276926541119305,0.24016421351175443,0.1849141815721815,0.09840097085140233,0.16803433893081274,0.18367811638831183,0.17428068828668394,0.19570731948545472,0.08159266634683392,0.1468473840202864,0.11340194615536173,0.02860015999419596,-0.06074726414662551,0.268800780657032,0.18439874501714204,0.10774440418505322,0.14426563328763692,0.08913251325074256,0.2951382351724667,0.2796458702143736,0.1722328124371597,0.303680639127563,0.19901801864424612,0.06839887146420194,0.07114603575521497,0.11602073771444903,0.19952930622018705,0.10373645403151882,0.2072779922390974,0.2167015268042307,0.17455792545207943,0.11811509951658737,0.23656230815914994,0.14184513872975485,0.12933114685607086,-0.10116868745904468,0.1582665742476029,0.16389480037799903,-0.012418743330903155,0.1259343267755786,0.033604556972223566,0.3028237836482872,0.22824094863159905,0.11166943638093,0.2599340924784161,0.21281972863130452,0.13972442699467194,0.0524347021679047,0.15510697222051542,0.14353949956846151,0.17291031344444624,0.05907124005857064,-0.001342655285343666,0.22274798685284333,0.2168740877958268,0.2411797544595782,0.21213119857767432,0.00923855144851912,0.020475357266926852,0.09679059782319155,0.15855471494378712,0.016508541665283535,0.24088734068191406,0.11019561691427196,0.16467273807803778,0.08513211539701401,0.20865878606517566,0.13373748174917985,0.15828708961341095,0.12183312403593402,-0.15600141708434342,0.028743581332733935,0.0653351172750744,-0.059422275266085525,-0.051678846910541934,-0.056982502135262604,-0.15570177626974893,-0.1101096421365263,-0.06917467594875934,0.06906998201937141,0.07228412871637822,0.17767141083558347,0.1484280037339585,0.21218531179762085,0.09599884981179913,-0.12750047104381454,0.07648344675643548,0.0894624760025073,-0.017379962787292057,-0.03561737972276503,-0.12413304453942528,-0.07441243944667181,-0.023528171284912382,0.10698847899605612,0.11685124586308841,0.18825245764779686,0.12133639002507604,0.07919773127469244,0.12962763931504495,0.12449173663453161,0.031094293968556168,0.13477754426912905,0.2321562102826273,0.1484343212610272,0.19946506844122316,0.3109492880651382,-0.06761148893135051,-0.01912860960132703,-0.09367655522250022,-0.09780292451713812,-0.1715469454391379,-0.09351121971406649,-0.16519780199383338,-0.038882006022873575,0.32756508216455177,0.06598768446900523,0.08638877142048962,0.020196817436600713,0.04524137619490224
